Book,Author,Genere1,Genere2,Genere3,Genere4,Genere5,Genere6,Genere7,Combined_Features
Way to Be!: 9 Ways To Be Happy And Make Something Of Your Life,Gordon B. Hinckley,Religion,Lds,Nonfiction,Church,Self Help,Inspirational,Spirituality,way to be  ways to be happy and make something of your life gordon b hinckley religion lds nonfiction church self help inspirational spirituality
Toxic Parents: Overcoming Their Hurtful Legacy and Reclaiming Your Life,Susan Forward,Psychology,Nonfiction,Self Help,Parenting,Mental Health,Relationships,Personal Development,toxic parents overcoming their hurtful legacy and reclaiming your life susan forward psychology nonfiction self help parenting mental health relationships personal development
"The $100 Startup: Reinvent the Way You Make a Living, Do What You Love, and Create a New Future",Chris Guillebeau,Business,Nonfiction,Entrepreneurship,Self Help,Finance,Personal Development,Buisness,the  startup reinvent the way you make a living do what you love and create a new future chris guillebeau business nonfiction entrepreneurship self help finance personal development buisness
The Cloister Walk,Kathleen Norris,Nonfiction,Memoir,Spirituality,Religion,Faith,Christianity,Christian,the cloister walk kathleen norris nonfiction memoir spirituality religion faith christianity christian
"Obsidian (Lux, #1)",Jennifer L. Armentrout,Young Adult,Fantasy,Romance,Paranormal,Aliens,Science Fiction,Paranormal Romance,obsidian lux  jennifer l armentrout young adult fantasy romance paranormal aliens science fiction paranormal romance
U-10,Sam B. Miller II,Epic,Book Club,Action,Aliens,0,0,0,u sam b miller ii epic book club action aliens   
Broken for You,Stephanie Kallos,Fiction,Book Club,Contemporary,Adult Fiction,Holocaust,Chick Lit,Adult,broken for you stephanie kallos fiction book club contemporary adult fiction holocaust chick lit adult
100 Selected Poems,E.E. Cummings,Poetry,Classics,American,Fiction,Literature,20th Century,The United States Of America, selected poems ee cummings poetry classics american fiction literature th century the united states of america
The Melancholy Death of Oyster Boy and Other Stories,Tim Burton,Poetry,Fiction,Short Stories,Fantasy,Humor,Horror,Art,the melancholy death of oyster boy and other stories tim burton poetry fiction short stories fantasy humor horror art
"The Age of Reason (Roads to Freedom, #1)",Jean-Paul Sartre,Philosophy,Fiction,Classics,France,Literature,French Literature,Novels,the age of reason roads to freedom  jeanpaul sartre philosophy fiction classics france literature french literature novels
Season of Migration to the North,Tayeb Salih,Fiction,Classics,Africa,Novels,Sudan,Literature,Historical Fiction,season of migration to the north tayeb salih fiction classics africa novels sudan literature historical fiction
Bounty from the Box: The CSA Farm Cookbook,Mi Ae Lipe,Cookbooks,Cooking,Culinary,New Adult,Adult,0,0,bounty from the box the csa farm cookbook mi ae lipe cookbooks cooking culinary new adult adult  
The Third Twin,Ken Follett,Fiction,Thriller,Mystery,Suspense,Science Fiction,Crime,Mystery Thriller,the third twin ken follett fiction thriller mystery suspense science fiction crime mystery thriller
The Kiss Thief,L.J. Shen,Romance,Contemporary,New Adult,Contemporary Romance,Dark,Adult,Fiction,the kiss thief lj shen romance contemporary new adult contemporary romance dark adult fiction
Get Your Sh*t Together: How to Stop Worrying About What You Should Do So You Can Finish What You Need to Do and Start Doing What You Want to Do (A No F*cks Given Guide),Sarah Knight,Nonfiction,Self Help,Personal Development,Audiobook,Humor,Psychology,Productivity,get your sht together how to stop worrying about what you should do so you can finish what you need to do and start doing what you want to do a no fcks given guide sarah knight nonfiction self help personal development audiobook humor psychology productivity
"Search Inside Yourself: The Unexpected Path to Achieving Success, Happiness",Chade-Meng Tan,Nonfiction,Self Help,Psychology,Personal Development,Business,Philosophy,Health,search inside yourself the unexpected path to achieving success happiness chademeng tan nonfiction self help psychology personal development business philosophy health
The Gate to Women's Country,Sheri S. Tepper,Science Fiction,Fiction,Fantasy,Dystopia,Feminism,Post Apocalyptic,Speculative Fiction,the gate to womens country sheri s tepper science fiction fiction fantasy dystopia feminism post apocalyptic speculative fiction
"The Sea, the Sea",Iris Murdoch,Fiction,Classics,Literature,Literary Fiction,Novels,British Literature,20th Century,the sea the sea iris murdoch fiction classics literature literary fiction novels british literature th century
"Worth Dying For (Jack Reacher, #15)",Lee Child,Thriller,Fiction,Mystery,Crime,Action,Suspense,Mystery Thriller,worth dying for jack reacher  lee child thriller fiction mystery crime action suspense mystery thriller
"Less (Arthur Less, #1)",Andrew Sean Greer,Fiction,LGBT,Contemporary,Audiobook,Queer,Romance,Literary Fiction,less arthur less  andrew sean greer fiction lgbt contemporary audiobook queer romance literary fiction
"Always Outnumbered, Always Outgunned",Walter Mosley,Fiction,Short Stories,Mystery,African American,Crime,Mystery Thriller,Audiobook,always outnumbered always outgunned walter mosley fiction short stories mystery african american crime mystery thriller audiobook
The Rise of Theodore Roosevelt,Edmund Morris,Biography,History,Nonfiction,Presidents,Politics,American History,Biography Memoir,the rise of theodore roosevelt edmund morris biography history nonfiction presidents politics american history biography memoir
"Untamed (House of Night, #4)",P.C. Cast,Young Adult,Vampires,Fantasy,Paranormal,Romance,Fiction,Supernatural,untamed house of night  pc cast young adult vampires fantasy paranormal romance fiction supernatural
The Most Dangerous Game,Richard Connell,Classics,Short Stories,Fiction,Horror,School,Thriller,Adventure,the most dangerous game richard connell classics short stories fiction horror school thriller adventure
"Ptolemy's Gate (Bartimaeus, #3)",Jonathan Stroud,Fantasy,Young Adult,Fiction,Magic,Urban Fantasy,Adventure,Young Adult Fantasy,ptolemys gate bartimaeus  jonathan stroud fantasy young adult fiction magic urban fantasy adventure young adult fantasy
Unlimited Power: The New Science Of Personal Achievement,Anthony Robbins,Self Help,Personal Development,Nonfiction,Psychology,Business,Productivity,Philosophy,unlimited power the new science of personal achievement anthony robbins self help personal development nonfiction psychology business productivity philosophy
Joseph and His Brothers,Thomas Mann,Fiction,Classics,German Literature,Historical Fiction,Literature,Religion,Germany,joseph and his brothers thomas mann fiction classics german literature historical fiction literature religion germany
"Handcuffs, Kisses and Awkward Situations: Mystery Romance",Olivia Harvard,Romance,Young Adult,Fiction,Mystery,Teen,Young Adult Romance,0,handcuffs kisses and awkward situations mystery romance olivia harvard romance young adult fiction mystery teen young adult romance 
"Nobody Asked Me, But ....",Karl Wiggins,Politics,0,0,0,0,0,0,nobody asked me but  karl wiggins politics      
The Ipswich Bus,Robbie Franklin,Poetry,0,0,0,0,0,0,the ipswich bus robbie franklin poetry      
The Drowned and the Saved,Primo Levi,History,Nonfiction,Holocaust,Memoir,Philosophy,War,Biography,the drowned and the saved primo levi history nonfiction holocaust memoir philosophy war biography
Airframe,Michael Crichton,Fiction,Thriller,Mystery,Science Fiction,Suspense,Mystery Thriller,Adventure,airframe michael crichton fiction thriller mystery science fiction suspense mystery thriller adventure
"Overwhelmed: Work, Love, and Play When No One Has the Time",Brigid Schulte,Nonfiction,Self Help,Parenting,Psychology,Business,Personal Development,Productivity,overwhelmed work love and play when no one has the time brigid schulte nonfiction self help parenting psychology business personal development productivity
"A Pattern Language: Towns, Buildings, Construction (Center for Environmental Structure Series)",Christopher W. Alexander,Architecture,Design,Nonfiction,Urban Planning,Philosophy,Urbanism,Art,a pattern language towns buildings construction center for environmental structure series christopher w alexander architecture design nonfiction urban planning philosophy urbanism art
The Seven Storey Mountain,Thomas Merton,Religion,Spirituality,Biography,Nonfiction,Memoir,Christianity,Theology,the seven storey mountain thomas merton religion spirituality biography nonfiction memoir christianity theology
The Slave,Isaac Bashevis Singer,Fiction,Historical Fiction,Classics,Jewish,Nobel Prize,Poland,Novels,the slave isaac bashevis singer fiction historical fiction classics jewish nobel prize poland novels
Pay It Forward,Catherine Ryan Hyde,Fiction,Contemporary,Inspirational,Drama,Young Adult,Adult,Novels,pay it forward catherine ryan hyde fiction contemporary inspirational drama young adult adult novels
"The Girl Who Takes an Eye for an Eye (Millennium, #5)",David Lagercrantz,Fiction,Mystery,Thriller,Crime,Audiobook,Mystery Thriller,Suspense,the girl who takes an eye for an eye millennium  david lagercrantz fiction mystery thriller crime audiobook mystery thriller suspense
"You Are a Badass Every Day: How to Keep Your Motivation Strong, Your Vibe High, and Your Quest for Transformation Unstoppable",Jen Sincero,Self Help,Nonfiction,Personal Development,Audiobook,Psychology,Business,Mental Health,you are a badass every day how to keep your motivation strong your vibe high and your quest for transformation unstoppable jen sincero self help nonfiction personal development audiobook psychology business mental health
"The Snowman (Harry Hole, #7)",Jo Nesbø,Mystery,Crime,Fiction,Thriller,Mystery Thriller,Scandinavian Literature,Detective,the snowman harry hole  jo nesb mystery crime fiction thriller mystery thriller scandinavian literature detective
Notorious RBG: The Life and Times of Ruth Bader Ginsburg,Irin Carmon,Nonfiction,Biography,Feminism,History,Politics,Audiobook,Biography Memoir,notorious rbg the life and times of ruth bader ginsburg irin carmon nonfiction biography feminism history politics audiobook biography memoir
Make It Stick: The Science of Successful Learning,Peter C. Brown,Nonfiction,Education,Psychology,Self Help,Science,Productivity,Teaching,make it stick the science of successful learning peter c brown nonfiction education psychology self help science productivity teaching
"The 5 Second Rule: Transform Your Life, Work, and Confidence with Everyday Courage",Mel Robbins,Self Help,Nonfiction,Personal Development,Psychology,Productivity,Audiobook,Business,the  second rule transform your life work and confidence with everyday courage mel robbins self help nonfiction personal development psychology productivity audiobook business
"Indulgence in Death (In Death, #31)",J.D. Robb,Mystery,Romance,Crime,Romantic Suspense,Fiction,Futuristic,Suspense,indulgence in death in death  jd robb mystery romance crime romantic suspense fiction futuristic suspense
"பொன்னியின் செல்வன், முழுத்தொகுப்பு",Kalki,Fiction,Historical Fiction,Classics,Novels,Indian Literature,Fantasy,Historical,   kalki fiction historical fiction classics novels indian literature fantasy historical
"Touching Spirit Bear (Spirit Bear, #1)",Ben Mikaelsen,Young Adult,Fiction,Realistic Fiction,Adventure,School,Middle Grade,Survival,touching spirit bear spirit bear  ben mikaelsen young adult fiction realistic fiction adventure school middle grade survival
Wraith (Nick Baron 0.5),James R. Hannibal,Fiction,Thriller,0,0,0,0,0,wraith nick baron  james r hannibal fiction thriller     
The Magician's Elephant,Kate DiCamillo,Fantasy,Fiction,Middle Grade,Childrens,Young Adult,Magic,Animals,the magicians elephant kate dicamillo fantasy fiction middle grade childrens young adult magic animals
Annihilation,Jeff VanderMeer,Science Fiction,Fiction,Horror,Fantasy,Mystery,Dystopia,Audiobook,annihilation jeff vandermeer science fiction fiction horror fantasy mystery dystopia audiobook
Strangers on a Train,Patricia Highsmith,Fiction,Mystery,Classics,Thriller,Crime,Mystery Thriller,Noir,strangers on a train patricia highsmith fiction mystery classics thriller crime mystery thriller noir
"Tales of Nevèrÿon (Return to Nevèrÿon, #1)",Samuel R. Delany,Fantasy,Fiction,Science Fiction,Short Stories,Queer,Sword and Sorcery,Speculative Fiction,tales of nevron return to nevron  samuel r delany fantasy fiction science fiction short stories queer sword and sorcery speculative fiction
"Shadow Catcher (Nick Baron, #1)",James R. Hannibal,Fiction,Military Fiction,Espionage,Thriller,Spy Thriller,Adult Fiction,0,shadow catcher nick baron  james r hannibal fiction military fiction espionage thriller spy thriller adult fiction 
The Lean Startup: How Today's Entrepreneurs Use Continuous Innovation to Create Radically Successful Businesses,Eric Ries,Business,Nonfiction,Entrepreneurship,Management,Leadership,Buisness,Self Help,the lean startup how todays entrepreneurs use continuous innovation to create radically successful businesses eric ries business nonfiction entrepreneurship management leadership buisness self help
Loving Frank,Nancy Horan,Historical Fiction,Fiction,Book Club,Historical,Architecture,Romance,Adult Fiction,loving frank nancy horan historical fiction fiction book club historical architecture romance adult fiction
Invisible Women: Data Bias in a World Designed for Men,Caroline Criado Pérez,Nonfiction,Feminism,Science,Audiobook,Politics,Womens,Sociology,invisible women data bias in a world designed for men caroline criado prez nonfiction feminism science audiobook politics womens sociology
"The Collectors (The Camel Club, #2)",David Baldacci,Fiction,Mystery,Thriller,Suspense,Crime,Mystery Thriller,Audiobook,the collectors the camel club  david baldacci fiction mystery thriller suspense crime mystery thriller audiobook
The Violets of March,Sarah Jio,Fiction,Historical Fiction,Romance,Chick Lit,Mystery,Contemporary,Adult Fiction,the violets of march sarah jio fiction historical fiction romance chick lit mystery contemporary adult fiction
Complications: A Surgeon's Notes on an Imperfect Science,Atul Gawande,Nonfiction,Medicine,Medical,Science,Memoir,Health,Biography,complications a surgeons notes on an imperfect science atul gawande nonfiction medicine medical science memoir health biography
Stillwell,Michael Phillip Cash,Horror,Mystery,Paranormal,Fiction,Thriller,Fantasy,Ghosts,stillwell michael phillip cash horror mystery paranormal fiction thriller fantasy ghosts
"To Selena, With Love",Chris Pérez,Nonfiction,Biography,Memoir,Music,Romance,History,Autobiography,to selena with love chris prez nonfiction biography memoir music romance history autobiography
Battle Cry of Freedom,James M. McPherson,History,Nonfiction,Civil War,American History,War,American Civil War,Military History,battle cry of freedom james m mcpherson history nonfiction civil war american history war american civil war military history
La vida es sueño,Pedro Calderón de la Barca,Plays,Classics,Spanish Literature,Drama,Fiction,Theatre,Spain,la vida es sueo pedro caldern de la barca plays classics spanish literature drama fiction theatre spain
The Black Cat,Edgar Allan Poe,Classics,Horror,Short Stories,Fiction,Gothic,Mystery,School,the black cat edgar allan poe classics horror short stories fiction gothic mystery school
"Naked Empire (Sword of Truth, #8)",Terry Goodkind,Fantasy,Fiction,Epic Fantasy,Science Fiction Fantasy,High Fantasy,Magic,Adventure,naked empire sword of truth  terry goodkind fantasy fiction epic fantasy science fiction fantasy high fantasy magic adventure
"Pines (Wayward Pines, #1)",Blake Crouch,Thriller,Mystery,Science Fiction,Fiction,Horror,Mystery Thriller,Dystopia,pines wayward pines  blake crouch thriller mystery science fiction fiction horror mystery thriller dystopia
"How the Light Gets In (Chief Inspector Armand Gamache, #9)",Louise Penny,Mystery,Fiction,Audiobook,Canada,Crime,Mystery Thriller,Thriller,how the light gets in chief inspector armand gamache  louise penny mystery fiction audiobook canada crime mystery thriller thriller
"Mini Habits: Smaller Habits, Bigger Results (Mini Habits, #1)",Stephen Guise,Self Help,Nonfiction,Productivity,Personal Development,Psychology,Business,Audiobook,mini habits smaller habits bigger results mini habits  stephen guise self help nonfiction productivity personal development psychology business audiobook
The View from Saturday,E.L. Konigsburg,Young Adult,Fiction,Middle Grade,Childrens,Realistic Fiction,School,Juvenile,the view from saturday el konigsburg young adult fiction middle grade childrens realistic fiction school juvenile
The Mist,Stephen King,Horror,Fiction,Thriller,Fantasy,Science Fiction,Paranormal,Mystery,the mist stephen king horror fiction thriller fantasy science fiction paranormal mystery
Strength to Love,Martin Luther King Jr.,Nonfiction,Theology,Religion,History,Christianity,Faith,Philosophy,strength to love martin luther king jr nonfiction theology religion history christianity faith philosophy
The Souls of Black Folk,W.E.B. Du Bois,Nonfiction,History,Classics,Race,Essays,Sociology,African American,the souls of black folk web du bois nonfiction history classics race essays sociology african american
"The Yard (Scotland Yard's Murder Squad, #1)",Alex Grecian,Mystery,Historical Fiction,Fiction,Crime,Historical,Historical Mystery,Mystery Thriller,the yard scotland yards murder squad  alex grecian mystery historical fiction fiction crime historical historical mystery mystery thriller
In the Time of the Butterflies,Julia Alvarez,Historical Fiction,Fiction,Historical,School,Classics,Novels,Spanish Literature,in the time of the butterflies julia alvarez historical fiction fiction historical school classics novels spanish literature
"Bad Luck and Trouble (Jack Reacher, #11)",Lee Child,Thriller,Fiction,Mystery,Crime,Action,Suspense,Mystery Thriller,bad luck and trouble jack reacher  lee child thriller fiction mystery crime action suspense mystery thriller
The Woman in the Window,A.J. Finn,Thriller,Mystery,Fiction,Mystery Thriller,Suspense,Audiobook,Crime,the woman in the window aj finn thriller mystery fiction mystery thriller suspense audiobook crime
"Promise Cove (Pelican Pointe, #1)",Vickie McKeehan,Romance,Contemporary,Contemporary Romance,Military Fiction,Chick Lit,Amazon,Fiction,promise cove pelican pointe  vickie mckeehan romance contemporary contemporary romance military fiction chick lit amazon fiction
"Zen Flesh, Zen Bones: A Collection of Zen and Pre-Zen Writings",Paul Reps,Philosophy,Buddhism,Zen,Spirituality,Nonfiction,Religion,Poetry,zen flesh zen bones a collection of zen and prezen writings paul reps philosophy buddhism zen spirituality nonfiction religion poetry
"First Family (Sean King & Michelle Maxwell, #4)",David Baldacci,Fiction,Mystery,Thriller,Suspense,Crime,Mystery Thriller,Audiobook,first family sean king  michelle maxwell  david baldacci fiction mystery thriller suspense crime mystery thriller audiobook
The Twits,Roald Dahl,Childrens,Fiction,Fantasy,Classics,Middle Grade,Humor,Young Adult,the twits roald dahl childrens fiction fantasy classics middle grade humor young adult
Memoirs of an Imaginary Friend,Matthew Dicks,Fiction,Fantasy,Contemporary,Young Adult,Adult,Adult Fiction,Autistic Spectrum Disorder,memoirs of an imaginary friend matthew dicks fiction fantasy contemporary young adult adult adult fiction autistic spectrum disorder
I'm Thinking of Ending Things,Iain Reid,Horror,Fiction,Thriller,Mystery,Mystery Thriller,Audiobook,Adult,im thinking of ending things iain reid horror fiction thriller mystery mystery thriller audiobook adult
"Gmorning, Gnight!: Little Pep Talks for Me & You",Lin-Manuel Miranda,Poetry,Nonfiction,Self Help,Audiobook,Adult,Humor,Inspirational,gmorning gnight little pep talks for me  you linmanuel miranda poetry nonfiction self help audiobook adult humor inspirational
Drama,Raina Telgemeier,Graphic Novels,Middle Grade,Young Adult,Comics,LGBT,Fiction,Realistic Fiction,drama raina telgemeier graphic novels middle grade young adult comics lgbt fiction realistic fiction
How to Live Safely in a Science Fictional Universe,Charles Yu,Science Fiction,Fiction,Time Travel,Science Fiction Fantasy,Humor,Speculative Fiction,Fantasy,how to live safely in a science fictional universe charles yu science fiction fiction time travel science fiction fantasy humor speculative fiction fantasy
"Pray for Silence (Kate Burkholder, #2)",Linda Castillo,Mystery,Thriller,Fiction,Amish,Crime,Mystery Thriller,Audiobook,pray for silence kate burkholder  linda castillo mystery thriller fiction amish crime mystery thriller audiobook
More Than Human,Theodore Sturgeon,Science Fiction,Fiction,Fantasy,Classics,Science Fiction Fantasy,Novels,Speculative Fiction,more than human theodore sturgeon science fiction fiction fantasy classics science fiction fantasy novels speculative fiction
Earth (The Book): A Visitor's Guide to the Human Race,Jon   Stewart,Humor,Nonfiction,Comedy,Politics,Audiobook,History,Science,earth the book a visitors guide to the human race jon   stewart humor nonfiction comedy politics audiobook history science
Madeline,Ludwig Bemelmans,Picture Books,Childrens,Classics,Fiction,France,Poetry,Kids,madeline ludwig bemelmans picture books childrens classics fiction france poetry kids
The Ugly Duckling,Hans Christian Andersen,Childrens,Classics,Picture Books,Fairy Tales,Fiction,Animals,Fantasy,the ugly duckling hans christian andersen childrens classics picture books fairy tales fiction animals fantasy
The Little Match Girl,Hans Christian Andersen,Classics,Childrens,Picture Books,Christmas,Fiction,Short Stories,Fairy Tales,the little match girl hans christian andersen classics childrens picture books christmas fiction short stories fairy tales
Snow Country,Yasunari Kawabata,Fiction,Japan,Classics,Japanese Literature,Romance,Literature,Asia,snow country yasunari kawabata fiction japan classics japanese literature romance literature asia
Four Past Midnight,Stephen King,Horror,Fiction,Short Stories,Thriller,Fantasy,Mystery,Suspense,four past midnight stephen king horror fiction short stories thriller fantasy mystery suspense
The Lacuna,Barbara Kingsolver,Fiction,Historical Fiction,Historical,Literary Fiction,Novels,Art,Book Club,the lacuna barbara kingsolver fiction historical fiction historical literary fiction novels art book club
"Frog and Toad All Year (Frog and Toad, #3)",Arnold Lobel,Childrens,Picture Books,Fiction,Animals,Classics,Fantasy,Juvenile,frog and toad all year frog and toad  arnold lobel childrens picture books fiction animals classics fantasy juvenile
"The Devotion of Suspect X (Detective Galileo, #1)",Keigo Higashino,Mystery,Fiction,Japan,Crime,Thriller,Japanese Literature,Mystery Thriller,the devotion of suspect x detective galileo  keigo higashino mystery fiction japan crime thriller japanese literature mystery thriller
A Conservation Notebook,Paul Spencer Sochaczewski,Nonfiction,Education,Nature,Book Club,How To,Memoir,Inspirational,a conservation notebook paul spencer sochaczewski nonfiction education nature book club how to memoir inspirational
"Child of the Prophecy (Sevenwaters, #3)",Juliet Marillier,Fantasy,Romance,Historical Fiction,Fiction,Historical,Historical Fantasy,Magic,child of the prophecy sevenwaters  juliet marillier fantasy romance historical fiction fiction historical historical fantasy magic
I Have No Mouth and I Must Scream,Harlan Ellison,Science Fiction,Horror,Short Stories,Fiction,Classics,Fantasy,Dystopia,i have no mouth and i must scream harlan ellison science fiction horror short stories fiction classics fantasy dystopia
Inés of My Soul,Isabel Allende,Historical Fiction,Fiction,Historical,Romance,Spanish Literature,Magical Realism,Novels,ins of my soul isabel allende historical fiction fiction historical romance spanish literature magical realism novels
The Lucifer Effect: Understanding How Good People Turn Evil,Philip G. Zimbardo,Psychology,Nonfiction,Science,Sociology,Philosophy,History,Self Help,the lucifer effect understanding how good people turn evil philip g zimbardo psychology nonfiction science sociology philosophy history self help
Q & A,Vikas Swarup,Fiction,India,Contemporary,Asia,Novels,Romance,Drama,q  a vikas swarup fiction india contemporary asia novels romance drama
My Name Is Lucy Barton,Elizabeth Strout,Fiction,Literary Fiction,Audiobook,Contemporary,Adult Fiction,Family,Novels,my name is lucy barton elizabeth strout fiction literary fiction audiobook contemporary adult fiction family novels
You Can't Go Home Again,Thomas Wolfe,Fiction,Classics,Literature,Novels,Literary Fiction,Historical Fiction,American,you cant go home again thomas wolfe fiction classics literature novels literary fiction historical fiction american
Mila 18,Leon Uris,Historical Fiction,Fiction,Holocaust,Historical,World War II,War,Jewish,mila  leon uris historical fiction fiction holocaust historical world war ii war jewish
"Finnikin of the Rock (Lumatere Chronicles, #1)",Melina Marchetta,Fantasy,Young Adult,Romance,Adventure,Fiction,Young Adult Fantasy,High Fantasy,finnikin of the rock lumatere chronicles  melina marchetta fantasy young adult romance adventure fiction young adult fantasy high fantasy
Dogshit Saved My Life,Karl Wiggins,Humor,Comedy,Nonfiction,0,0,0,0,dogshit saved my life karl wiggins humor comedy nonfiction    
An Enemy of the People,Henrik Ibsen,Plays,Classics,Drama,Fiction,Theatre,19th Century,School,an enemy of the people henrik ibsen plays classics drama fiction theatre th century school
Babe : The Gallant Pig,Dick King-Smith,Childrens,Fiction,Animals,Classics,Fantasy,Middle Grade,Young Adult,babe  the gallant pig dick kingsmith childrens fiction animals classics fantasy middle grade young adult
Saving Grace,Julie Garwood,Historical Romance,Romance,Historical,Medieval,Historical Fiction,Fiction,Medieval Romance,saving grace julie garwood historical romance romance historical medieval historical fiction fiction medieval romance
"A Knight in Shining Armor (Montgomery/Taggert Family, #13)",Jude Deveraux,Romance,Time Travel,Historical Romance,Historical,Historical Fiction,Fiction,Fantasy,a knight in shining armor montgomerytaggert family  jude deveraux romance time travel historical romance historical historical fiction fiction fantasy
"Sarah, Plain and Tall (Sarah, Plain and Tall, #1)",Patricia MacLachlan,Historical Fiction,Childrens,Fiction,Classics,Middle Grade,Young Adult,Historical,sarah plain and tall sarah plain and tall  patricia maclachlan historical fiction childrens fiction classics middle grade young adult historical
"Rules of Prey (Lucas Davenport, #1)",John Sandford,Mystery,Fiction,Thriller,Crime,Mystery Thriller,Suspense,Detective,rules of prey lucas davenport  john sandford mystery fiction thriller crime mystery thriller suspense detective
We Were the Lucky Ones,Georgia Hunter,Historical Fiction,Fiction,World War II,Historical,Holocaust,War,Audiobook,we were the lucky ones georgia hunter historical fiction fiction world war ii historical holocaust war audiobook
"The Body Farm (Kay Scarpetta, #5)",Patricia Cornwell,Mystery,Crime,Fiction,Thriller,Mystery Thriller,Suspense,Murder Mystery,the body farm kay scarpetta  patricia cornwell mystery crime fiction thriller mystery thriller suspense murder mystery
A Nearly Normal Family,M.T. Edvardsson,Mystery,Thriller,Fiction,Mystery Thriller,Audiobook,Crime,Suspense,a nearly normal family mt edvardsson mystery thriller fiction mystery thriller audiobook crime suspense
Tribe Of Mentors: Short Life Advice from the Best in the World,Timothy Ferriss,Business,Nonfiction,Self Help,Personal Development,Leadership,Productivity,Psychology,tribe of mentors short life advice from the best in the world timothy ferriss business nonfiction self help personal development leadership productivity psychology
"Sackett (The Sacketts, #8)",Louis L'Amour,Westerns,Fiction,Historical Fiction,Adventure,Historical,Novels,Classics,sackett the sacketts  louis lamour westerns fiction historical fiction adventure historical novels classics
Altar of Eden,James Rollins,Thriller,Fiction,Adventure,Mystery,Science Fiction,Action,Suspense,altar of eden james rollins thriller fiction adventure mystery science fiction action suspense
What to Expect When You're Expecting,Heidi Murkoff,Parenting,Nonfiction,Self Help,Health,Reference,Family,Adult,what to expect when youre expecting heidi murkoff parenting nonfiction self help health reference family adult
"The Last Straw (Diary of a Wimpy Kid, #3)",Jeff Kinney,Fiction,Humor,Middle Grade,Childrens,Realistic Fiction,Graphic Novels,Young Adult,the last straw diary of a wimpy kid  jeff kinney fiction humor middle grade childrens realistic fiction graphic novels young adult
"Curtain (Hercule Poirot, #44)",Agatha Christie,Mystery,Fiction,Crime,Classics,Detective,Mystery Thriller,British Literature,curtain hercule poirot  agatha christie mystery fiction crime classics detective mystery thriller british literature
For Colored Girls Who Have Considered Suicide / When the Rainbow Is Enuf,Ntozake Shange,Poetry,Plays,Fiction,Feminism,Drama,African American,Race,for colored girls who have considered suicide  when the rainbow is enuf ntozake shange poetry plays fiction feminism drama african american race
"The Hypnotist (Joona Linna, #1)",Lars Kepler,Thriller,Mystery,Crime,Fiction,Mystery Thriller,Audiobook,Scandinavian Literature,the hypnotist joona linna  lars kepler thriller mystery crime fiction mystery thriller audiobook scandinavian literature
The Body Is Not an Apology: The Power of Radical Self-Love,Sonya Renee Taylor,Nonfiction,Self Help,Feminism,Audiobook,Mental Health,Psychology,Social Justice,the body is not an apology the power of radical selflove sonya renee taylor nonfiction self help feminism audiobook mental health psychology social justice
"A Deepness in the Sky (Zones of Thought, #2)",Vernor Vinge,Science Fiction,Fiction,Space Opera,Hugo Awards,Science Fiction Fantasy,Aliens,Speculative Fiction,a deepness in the sky zones of thought  vernor vinge science fiction fiction space opera hugo awards science fiction fantasy aliens speculative fiction
"The Wide Window (A Series of Unfortunate Events, #3)",Lemony Snicket,Fiction,Young Adult,Childrens,Middle Grade,Fantasy,Mystery,Adventure,the wide window a series of unfortunate events  lemony snicket fiction young adult childrens middle grade fantasy mystery adventure
The Woman in Black,Susan         Hill,Horror,Fiction,Gothic,Classics,Mystery,Historical Fiction,Ghosts,the woman in black susan         hill horror fiction gothic classics mystery historical fiction ghosts
The Poetry of Pablo Neruda,Pablo Neruda,Poetry,Classics,Fiction,Romance,Literature,Spanish Literature,Nobel Prize,the poetry of pablo neruda pablo neruda poetry classics fiction romance literature spanish literature nobel prize
The Unknown Soldier,Väinö Linna,Classics,Fiction,Finnish Literature,War,Historical Fiction,Historical,20th Century,the unknown soldier vin linna classics fiction finnish literature war historical fiction historical th century
Village Evenings Near Dikanka and Mirgorod,Nikolai Gogol,Classics,Russia,Russian Literature,Fiction,Short Stories,Ukraine,Fantasy,village evenings near dikanka and mirgorod nikolai gogol classics russia russian literature fiction short stories ukraine fantasy
The Best Thing for Me,L.  Jackson,Young Adult,0,0,0,0,0,0,the best thing for me l  jackson young adult      
Life and Times of Frederick Douglass,Frederick Douglass,History,Biography,Nonfiction,Memoir,Classics,Civil War,Autobiography,life and times of frederick douglass frederick douglass history biography nonfiction memoir classics civil war autobiography
"The Last Templar (Templar, #1)",Raymond Khoury,Fiction,Thriller,Historical Fiction,Mystery,Adventure,Historical,Suspense,the last templar templar  raymond khoury fiction thriller historical fiction mystery adventure historical suspense
"The Power of Vulnerability: Teachings of Authenticity, Connections and Courage",Brené Brown,Nonfiction,Self Help,Psychology,Audiobook,Personal Development,Leadership,Mental Health,the power of vulnerability teachings of authenticity connections and courage bren brown nonfiction self help psychology audiobook personal development leadership mental health
Feel the Fear and Do It Anyway,Susan  Jeffers,Self Help,Nonfiction,Psychology,Personal Development,Business,Mental Health,Inspirational,feel the fear and do it anyway susan  jeffers self help nonfiction psychology personal development business mental health inspirational
"The Secret Adversary (Tommy and Tuppence Mysteries, #1)",Agatha Christie,Mystery,Fiction,Classics,Crime,Audiobook,Mystery Thriller,Thriller,the secret adversary tommy and tuppence mysteries  agatha christie mystery fiction classics crime audiobook mystery thriller thriller
